#N=10000 sum of ti-dists depending on pacement of r on and axis
dist-from-0 ti-dist-sum-3 ti-dist-sum-4 ti-dist-sum-5
4.0000e+001 1.6889e+009 1.5410e+009 1.4034e+009
4.0100e+001 1.6889e+009 1.5409e+009 1.4033e+009
4.0200e+001 1.6888e+009 1.5409e+009 1.4033e+009
4.0300e+001 1.6888e+009 1.5408e+009 1.4033e+009
4.0400e+001 1.6887e+009 1.5408e+009 1.4032e+009
4.0500e+001 1.6887e+009 1.5408e+009 1.4032e+009
4.0600e+001 1.6886e+009 1.5407e+009 1.4032e+009
4.0700e+001 1.6886e+009 1.5407e+009 1.4031e+009
4.0800e+001 1.6885e+009 1.5406e+009 1.4031e+009
4.0900e+001 1.6885e+009 1.5406e+009 1.4031e+009
4.1000e+001 1.6884e+009 1.5406e+009 1.4030e+009
4.1100e+001 1.6884e+009 1.5405e+009 1.4030e+009
4.1200e+001 1.6883e+009 1.5405e+009 1.4030e+009
4.1300e+001 1.6883e+009 1.5404e+009 1.4029e+009
4.1400e+001 1.6882e+009 1.5404e+009 1.4029e+009
4.1500e+001 1.6882e+009 1.5404e+009 1.4029e+009
4.1600e+001 1.6881e+009 1.5403e+009 1.4028e+009
4.1700e+001 1.6881e+009 1.5403e+009 1.4028e+009
4.1800e+001 1.6880e+009 1.5402e+009 1.4028e+009
4.1900e+001 1.6880e+009 1.5402e+009 1.4028e+009
4.2000e+001 1.6879e+009 1.5402e+009 1.4027e+009
4.2100e+001 1.6879e+009 1.5401e+009 1.4027e+009
4.2200e+001 1.6878e+009 1.5401e+009 1.4027e+009
4.2300e+001 1.6878e+009 1.5401e+009 1.4026e+009
4.2400e+001 1.6877e+009 1.5400e+009 1.4026e+009
4.2500e+001 1.6877e+009 1.5400e+009 1.4026e+009
4.2600e+001 1.6877e+009 1.5399e+009 1.4025e+009
4.2700e+001 1.6876e+009 1.5399e+009 1.4025e+009
4.2800e+001 1.6876e+009 1.5399e+009 1.4025e+009
4.2900e+001 1.6875e+009 1.5398e+009 1.4024e+009
4.3000e+001 1.6875e+009 1.5398e+009 1.4024e+009
4.3100e+001 1.6874e+009 1.5398e+009 1.4024e+009
4.3200e+001 1.6874e+009 1.5397e+009 1.4024e+009
4.3300e+001 1.6873e+009 1.5397e+009 1.4023e+009
4.3400e+001 1.6873e+009 1.5397e+009 1.4023e+009
